### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_4_0_pre9 vs CMSSW_7_4_0_pre8
The same excluding the first event 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.347347      +0.05%         1.46 ms/ev ->         7.47 ms/ev muonShowerInformation
   +0.675898      +0.18%        21.64 ms/ev ->        43.73 ms/ev pfImpactParameterTagInfos
   +0.653899      +1.58%       197.61 ms/ev ->       389.60 ms/ev jetCoreRegionalStepTrackCandidates
   +0.566892      +0.11%        16.31 ms/ev ->        29.22 ms/ev SETMuonSeed
   +0.531728      +0.03%         4.37 ms/ev ->         7.54 ms/ev dt4DCosmicSegments
   +0.503233      +0.03%         5.09 ms/ev ->         8.52 ms/ev dt4DSegments
   +0.496289      +0.10%        18.99 ms/ev ->        31.53 ms/ev displacedStandAloneMuons
   +0.463733      +0.01%         2.90 ms/ev ->         4.66 ms/ev jetCoreRegionalStepTracks
   +0.446255      +0.01%         1.52 ms/ev ->         2.39 ms/ev jetCoreRegionalStepSeeds
   +0.410926      +0.00%         0.92 ms/ev ->         1.40 ms/ev muonSeededTrackCandidatesOutIn

### Full Comparison CMSSW_7_4_0_pre9 vs CMSSW_7_4_0_pre8 
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.762590      +0.01%         0.07 ms/ev ->         1.05 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVA3newDMwoLT
   +1.631944      +0.00%         0.05 ms/ev ->         0.52 ms/ev hpsPFTauDiscriminationByMediumIsolationMVA3newDMwoLT
   +1.626571      +0.00%         0.05 ms/ev ->         0.51 ms/ev hpsPFTauDiscriminationByVTightIsolationMVA3newDMwoLT
   +1.621129      +0.00%         0.05 ms/ev ->         0.50 ms/ev hpsPFTauDiscriminationByLooseIsolationMVA3newDMwoLT
   +1.597765      +0.00%         0.05 ms/ev ->         0.48 ms/ev hpsPFTauDiscriminationByTightIsolationMVA3newDMwoLT
   +1.561939      +0.00%         0.06 ms/ev ->         0.50 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVA3newDMwoLT
   +1.469582      +0.02%         0.47 ms/ev ->         3.09 ms/ev hpsPFTauDiscriminationByMVA5VTightElectronRejection
   +1.384937      +0.01%         0.15 ms/ev ->         0.81 ms/ev hpsPFTauDiscriminationByIsolationMVA3newDMwoLTraw
   +1.384030      +0.01%         0.40 ms/ev ->         2.23 ms/ev hpsPFTauDiscriminationByMVA5VLooseElectronRejection
   +1.345740      +0.05%         1.46 ms/ev ->         7.46 ms/ev muonShowerInformation
   +1.225806      +0.00%         0.05 ms/ev ->         0.23 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVA3oldDMwLT
   +1.025253      +0.00%         0.19 ms/ev ->         0.60 ms/ev hpsPFTauDiscriminationByMVALooseMuonRejection
   +0.676414      +0.18%        21.64 ms/ev ->        43.75 ms/ev pfImpactParameterTagInfos
   +0.657022      +1.57%       197.41 ms/ev ->       390.57 ms/ev jetCoreRegionalStepTrackCandidates
   +0.567167      +0.10%        16.31 ms/ev ->        29.21 ms/ev SETMuonSeed
   +0.531030      +0.03%         4.38 ms/ev ->         7.54 ms/ev dt4DCosmicSegments
   +0.503154      +0.03%         5.10 ms/ev ->         8.53 ms/ev dt4DSegments
   +0.496556      +0.10%        18.99 ms/ev ->        31.53 ms/ev displacedStandAloneMuons
   +0.467556      +0.01%         2.90 ms/ev ->         4.67 ms/ev jetCoreRegionalStepTracks
   +0.448833      +0.01%         1.51 ms/ev ->         2.39 ms/ev jetCoreRegionalStepSeeds
   +0.412865      +0.01%         1.36 ms/ev ->         2.06 ms/ev combinedSecondaryVertexBJetTags
   +0.411765      +0.00%         0.92 ms/ev ->         1.39 ms/ev muonSeededTrackCandidatesOutIn
   +0.371027      +0.00%         1.10 ms/ev ->         1.60 ms/ev muonSeededSeedsOutIn
   +0.345064      +0.13%        38.64 ms/ev ->        54.76 ms/ev cosmicMuons
   +0.290632      +0.00%         1.29 ms/ev ->         1.73 ms/ev interestingTrackEcalDetIds
   +0.268507      +0.02%         7.40 ms/ev ->         9.70 ms/ev globalSETMuons
   +0.247865      +0.12%        52.23 ms/ev ->        67.00 ms/ev cosmicMuons1Leg
   +0.242424      +0.00%         1.77 ms/ev ->         2.26 ms/ev standAloneSETMuons
   +0.233341      +0.00%         2.05 ms/ev ->         2.59 ms/ev reducedEcalRecHitsEB
   +0.228431      +0.00%         2.16 ms/ev ->         2.71 ms/ev displacedGlobalMuons
   -0.220532      -0.00%         0.58 ms/ev ->         0.47 ms/ev uncleanedOnlyElectronSeeds
   +0.218332      +0.01%         3.46 ms/ev ->         4.31 ms/ev muonSeededSeedsOutInDisplaced
   +0.217473      +0.02%        10.63 ms/ev ->        13.23 ms/ev standAloneMuons
   +0.215775      +0.00%         0.49 ms/ev ->         0.61 ms/ev cscSegments
   +0.213483      +0.00%         0.48 ms/ev ->         0.59 ms/ev selectDigi
   +0.211235      +0.01%         3.06 ms/ev ->         3.78 ms/ev interestingGamIsoDetIdEB
   +0.210133      +0.00%         1.32 ms/ev ->         1.62 ms/ev muonSeededTrackCandidatesOutInDisplaced
   +0.206137      +0.03%        14.25 ms/ev ->        17.52 ms/ev tevMuons
   +0.205798      +0.01%         6.59 ms/ev ->         8.10 ms/ev muonsFromCosmics
   -0.203527      -0.01%         5.59 ms/ev ->         4.56 ms/ev pfPileUpJMEEI
   +0.200463      +0.02%        13.79 ms/ev ->        16.87 ms/ev refittedStandAloneMuons
   -0.199524      -0.01%         5.78 ms/ev ->         4.73 ms/ev pfPileUpEI
   -0.198552      -0.01%         5.54 ms/ev ->         4.54 ms/ev pfPileUpJME
   -0.196658      -0.01%         5.65 ms/ev ->         4.64 ms/ev pfPileUpIso
   -0.192304      -0.01%         5.68 ms/ev ->         4.69 ms/ev pfPileUp
   +0.187651      +0.04%        22.54 ms/ev ->        27.21 ms/ev pfTrackElec
   +0.185320      +0.02%         9.23 ms/ev ->        11.12 ms/ev photons
   +0.178507      +0.24%       147.99 ms/ev ->       177.00 ms/ev conversionTrackCandidates
   +0.168603      +0.07%        45.82 ms/ev ->        54.26 ms/ev hpsPFTauPrimaryVertexProducer
   +0.162653      +0.01%         7.90 ms/ev ->         9.29 ms/ev globalMuons
   +0.149963      +0.02%        12.39 ms/ev ->        14.39 ms/ev gedPhotonsTmp
   +0.140226      +0.01%         6.26 ms/ev ->         7.20 ms/ev muonSeededTrackCandidatesInOut
   +0.138449      +0.03%        21.32 ms/ev ->        24.50 ms/ev gedGsfElectronsTmp
   +0.136641      +0.01%         4.88 ms/ev ->         5.60 ms/ev hpsPFTauProducerSansRefs
   +0.129124      +0.02%        14.08 ms/ev ->        16.02 ms/ev electronCkfTrackCandidates
   +0.122820      +0.14%       131.49 ms/ev ->       148.69 ms/ev electronGsfTracks
   -0.109186      -0.30%       362.69 ms/ev ->       325.14 ms/ev pixelLessStepTrackCandidates
   +0.107369      +0.01%         7.47 ms/ev ->         8.32 ms/ev ghostTrackVertexTagInfos
