### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_6_0_pre6 vs CMSSW_7_6_0_pre7
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.02 ms/ev bunchSpacingProducer
   -1.264901      -0.00%         0.49 ms/ev ->         0.11 ms/ev castorreco
   -1.086870      -0.02%         3.89 ms/ev ->         1.15 ms/ev patJetCorrFactors
   -0.996625      -0.01%         1.33 ms/ev ->         0.45 ms/ev corrPfMetType1
   -0.858329      -0.01%         1.38 ms/ev ->         0.55 ms/ev ExoticaDQM
   -0.848485      -0.01%         1.08 ms/ev ->         0.44 ms/ev singleTopElectronMediumDQM
   -0.785068      -0.01%         1.23 ms/ev ->         0.54 ms/ev singleTopMuonMediumDQM
   -0.516486      -0.01%         2.38 ms/ev ->         1.41 ms/ev siPixelClusterShapeCache
   -0.515518      -0.01%         2.39 ms/ev ->         1.41 ms/ev siPixelClusterShapeCachePreSplitting

### Full Comparison CMSSW_7_6_0_pre6 vs CMSSW_7_6_0_pre7 
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.02 ms/ev bunchSpacingProducer
   -1.264901      -0.00%         0.49 ms/ev ->         0.11 ms/ev castorreco
   -1.086870      -0.02%         3.89 ms/ev ->         1.15 ms/ev patJetCorrFactors
   -0.996625      -0.01%         1.33 ms/ev ->         0.45 ms/ev corrPfMetType1
   -0.858329      -0.01%         1.38 ms/ev ->         0.55 ms/ev ExoticaDQM
   -0.848485      -0.01%         1.08 ms/ev ->         0.44 ms/ev singleTopElectronMediumDQM
   -0.785068      -0.01%         1.23 ms/ev ->         0.54 ms/ev singleTopMuonMediumDQM
   -0.516486      -0.01%         2.38 ms/ev ->         1.41 ms/ev siPixelClusterShapeCache
   -0.515518      -0.01%         2.39 ms/ev ->         1.41 ms/ev siPixelClusterShapeCachePreSplitting
   -0.501718      -0.00%         0.91 ms/ev ->         0.55 ms/ev uncleanedOnlyConversionTrackCandidates
   -0.501566      -0.21%        59.69 ms/ev ->        35.75 ms/ev fsqHLTOfflineSource
   +0.432832      +0.01%         1.43 ms/ev ->         2.22 ms/ev hcalDigis
   +0.429231      +1.11%       228.38 ms/ev ->       353.19 ms/ev pixelLessStepTrackCandidates
   +0.401434      +0.00%         0.45 ms/ev ->         0.67 ms/ev DiMuonHLTOfflineDQM
   -0.392744      -0.01%         4.35 ms/ev ->         2.92 ms/ev jetMETHLTOfflineSource
   -0.359437      -0.00%         1.05 ms/ev ->         0.73 ms/ev patSmearedJetsResUp
   -0.358739      -0.00%         1.03 ms/ev ->         0.72 ms/ev patSmearedJetsResDown
   +0.349736      +0.01%         2.57 ms/ev ->         3.67 ms/ev tobTecStepClassifier2
   +0.330091      +0.01%         2.88 ms/ev ->         4.01 ms/ev tobTecStepClassifier1
   +0.316263      +0.07%        21.89 ms/ev ->        30.11 ms/ev tobTecStepTracks
   -0.279577      -0.02%         7.00 ms/ev ->         5.29 ms/ev pfCombinedCvsBJetTags
   -0.271605      -0.00%         1.93 ms/ev ->         1.47 ms/ev muonSeededTracksInOut
   -0.262868      -0.03%        14.91 ms/ev ->        11.45 ms/ev pfCombinedCvsLJetTags
   +0.233516      +0.14%        59.28 ms/ev ->        74.95 ms/ev tobTecStepSeedsTripl
   -0.226764      -0.01%         4.63 ms/ev ->         3.69 ms/ev pileupJetId
   +0.222030      +0.02%         9.26 ms/ev ->        11.57 ms/ev pixelLessStepClassifier1
   +0.214758      +0.02%         7.89 ms/ev ->         9.79 ms/ev pixelLessStepClassifier2
   +0.210979      +0.02%         8.43 ms/ev ->        10.42 ms/ev generalV0Candidates
