### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_6_0 vs CMSSW_8_0_0_pre1
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
     removed      -0.00%         0.00 ms/ev ->         0.00 ms/ev DQMoutput
   -1.415797      -0.00%         0.57 ms/ev ->         0.10 ms/ev hpsPFTauDiscriminationByMVA5VLooseElectronRejection
   -1.334099      -0.01%         1.45 ms/ev ->         0.29 ms/ev softPFElectronBJetTags
   -1.294118      -0.00%         0.22 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5VTightElectronRejection
   -1.278195      -0.00%         0.22 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5TightElectronRejection
   -1.232000      -0.00%         0.20 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5LooseElectronRejection
   -1.222222      -0.00%         0.20 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5MediumElectronRejection
   -0.668847      -0.00%         0.82 ms/ev ->         0.41 ms/ev hpsPFTauDiscriminationByMVA5rawElectronRejection
   -0.650623      -0.04%        10.96 ms/ev ->         5.58 ms/ev mergedDuplicateTracks

### Full Comparison CMSSW_7_6_0 vs CMSSW_8_0_0_pre1 
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
     removed      -0.00%         0.00 ms/ev ->         0.00 ms/ev DQMoutput
   -1.415797      -0.00%         0.57 ms/ev ->         0.10 ms/ev hpsPFTauDiscriminationByMVA5VLooseElectronRejection
   -1.334099      -0.01%         1.45 ms/ev ->         0.29 ms/ev softPFElectronBJetTags
   -1.294118      -0.00%         0.22 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5VTightElectronRejection
   -1.278195      -0.00%         0.22 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5TightElectronRejection
   -1.232000      -0.00%         0.20 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5LooseElectronRejection
   -1.222222      -0.00%         0.20 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMVA5MediumElectronRejection
   -0.668847      -0.00%         0.82 ms/ev ->         0.41 ms/ev hpsPFTauDiscriminationByMVA5rawElectronRejection
   -0.650623      -0.04%        10.96 ms/ev ->         5.58 ms/ev mergedDuplicateTracks
   -0.564524      -0.16%        43.96 ms/ev ->        24.61 ms/ev duplicateTrackCandidates
